Epoch,mace,val_mace
00001,24.0878,24.6561
00002,21.5350,27.5932
00003,19.8390,35.4393
00004,19.1681,32.3504
00005,18.7961,30.7559
00006,18.5946,24.1501
00007,18.4649,23.6515
00008,18.3293,26.4597
00009,18.2055,25.1490
00010,18.1377,25.4695
00011,17.8471,25.1685
00012,17.8359,23.9793
00013,17.7359,24.8201
00014,17.7292,24.7407
00015,17.7472,22.7949
00016,17.6174,23.8594
00017,17.6021,23.7412
00018,17.6233,24.0134
00019,17.5850,24.5735
00020,17.4652,24.2835
00021,17.1636,23.6707
00022,17.1741,24.3088
00023,17.2283,22.7842
00024,17.2165,22.9713
00025,17.2614,24.2205
00026,17.1379,23.5860
00027,17.1495,23.5430
00028,17.1115,24.7227
00029,17.1316,23.8202
00030,17.0933,23.1647
00031,16.8227,24.5094
00032,16.8925,24.1874
00033,16.7691,22.1995
00034,16.8485,22.5321
00035,16.7722,23.5205
00036,16.8583,25.1166
00037,16.8926,24.2602
00038,16.8129,23.3000
00039,16.8095,24.3168
00040,16.8086,22.9306
00041,16.5272,26.4143
00042,16.5287,24.9311
00043,16.5269,25.3740
00044,16.6153,22.7032
00045,16.5613,23.1395
00046,16.5822,24.9414
00047,16.5479,22.7451
00048,16.5382,24.7149
00049,16.6141,23.6747
00050,16.6207,21.9721
00051,16.3143,24.3131
00052,16.2839,24.8176
00053,16.3619,24.3282
00054,16.2778,23.7516
00055,16.3432,24.2164
00056,16.3579,24.6950
00057,16.3661,23.5320
00058,16.3960,25.0745
00059,16.4211,23.6690
00060,16.3459,22.1490
00061,16.0313,24.4810
00062,16.0522,23.1751
00063,16.1117,23.7732
00064,16.1827,25.2660
00065,16.1726,25.0980
00066,16.2081,24.4652
00067,16.1724,23.0597
00068,16.1548,22.4868
00069,16.1915,22.2251
00070,16.2257,26.7876
00071,15.8285,24.0959
00072,15.8279,24.1081
00073,15.9433,22.8394
00074,15.9294,24.1264
00075,15.9669,25.7456
00076,15.9530,23.8771
00077,16.0948,26.1648
00078,16.0089,24.1567
00079,16.0749,24.1450
00080,15.9991,22.3205
00081,15.6114,23.0931
00082,15.5329,24.6635
00083,15.6439,25.0014
00084,15.8033,22.8986
00085,15.8241,23.6164
00086,15.8606,23.5276
00087,15.8154,24.9268
00088,15.8690,23.1235
00089,15.8609,23.4302
00090,15.8827,22.5895
00091,15.4411,23.1083
00092,15.5703,23.3570
00093,15.5867,26.3689
00094,15.5257,24.9338
00095,15.6234,24.0846
00096,15.6133,23.3489
00097,15.6669,24.9655
00098,15.6946,24.8365
00099,15.6957,23.8190
00100,15.7595,24.5757
00101,15.3326,25.2939
00102,15.3470,24.2558
00103,15.3934,23.4638
00104,15.4651,24.2145
00105,15.3788,23.9205
00106,15.4087,26.2286
00107,15.5545,25.0249
00108,15.5341,23.8598
00109,15.5749,24.3944
00110,15.5436,24.4189
00111,15.1456,26.4466
00112,15.1664,23.3618
00113,15.1796,24.1071
00114,15.2491,25.9631
00115,15.3010,24.5661
00116,15.2726,23.2882
00117,15.3278,24.0898
00118,15.4436,22.8589
00119,15.4665,23.4313
00120,15.4833,24.4371
00121,15.0998,25.2828
00122,14.9345,23.0590
00123,14.9991,22.5572
00124,15.1417,25.5624
00125,15.1505,24.8242
00126,15.1312,24.6429
00127,15.2855,23.5556
00128,15.2203,22.6640
00129,15.2288,23.6494
00130,15.2540,26.5076
00131,14.9239,26.2581
00132,14.8979,23.6249
00133,14.8457,22.0882
00134,14.9783,25.0041
00135,15.0630,24.0004
00136,15.0417,24.6766
00137,15.0790,24.3425
00138,15.0757,22.4380
00139,15.1453,23.4089
00140,15.1684,23.5492
00141,14.8160,23.4966
00142,14.7396,24.9519
00143,14.6840,23.2510
00144,14.9162,24.2658
00145,14.8606,23.0433
00146,14.9793,24.1271
00147,14.9625,24.4046
00148,15.0160,22.3141
00149,15.0278,22.9284
00150,15.0585,25.7619
00151,14.6792,24.1994
00152,14.5235,25.7239
00153,14.7424,25.2446
00154,14.7867,23.7271
00155,14.7551,23.4114
00156,14.7931,24.2531
00157,14.8403,23.6377
00158,14.8562,25.7479
00159,14.9159,25.7806
00160,14.9058,24.5733
00161,14.7386,26.4434
00162,14.4584,26.3544
00163,14.5407,24.5484
00164,14.6703,24.1761
00165,14.7102,24.2793
00166,14.6761,24.0588
00167,14.6888,22.5721
00168,14.7574,23.0931
00169,14.8047,23.0679
00170,14.8184,24.3858
00171,14.5387,24.4604
00172,14.4252,24.6727
00173,14.4660,22.7584
00174,14.4721,23.0241
00175,14.5791,24.2191
00176,14.6086,22.7462
00177,14.5881,24.3166
00178,14.6609,23.5565
00179,14.7352,24.2403
00180,14.7062,23.5133
00181,14.5108,23.3530
00182,14.2538,22.9581
00183,14.3442,24.8348
00184,14.4052,24.2729
00185,14.3870,24.6565
00186,14.5521,24.4287
00187,14.6035,24.8963
00188,14.5722,25.5077
00189,14.5718,24.2904
00190,14.6226,25.4838
00191,14.2951,24.8928
00192,14.3125,24.6145
00193,14.4183,23.9500
00194,14.2434,25.7824
00195,14.3069,23.6394
00196,14.4285,23.1721